T_BME280_0_C;p_BME280_0_hPa;rH_BME280_0_%;T_BME280_1_C;p_BME280_1_hPa;rH_BME280_1_%;AccelX_mss;AccelY_mss;AccelZ_mss;GyroX_rads;GyroY_rads;GyroZ_rads;MagX_uT;MagY_uT;MagZ_uT;millis_ms;Jahr/Monat/Tag;Stunden:Minuten:Sekunden;f_lat;f_lon;f_altitude;f_kmph;Sateliten
22.74;1019.68;42.64;23.31;1020.05;42.56;0.18;0.00;-9.70;-0.16;0.07;0.21;-4.11;15.54;17.33;11370;
22.75;1019.69;42.34;23.29;1020.03;42.03;0.19;0.02;-9.67;-0.15;0.07;0.21;-3.04;15.18;16.65;16750;
22.76;1019.69;42.32;23.26;1020.03;41.95;0.19;0.02;-9.68;-0.16;0.07;0.21;-3.93;15.36;16.82;22132;
22.77;1019.69;42.36;23.24;1020.04;41.90;0.21;0.01;-9.66;-0.16;0.07;0.21;-2.50;14.29;16.13;27511;
22.77;1019.65;42.32;23.26;1020.06;41.98;0.22;0.11;-9.71;-0.16;0.07;0.21;-3.04;14.83;16.99;32891;
22.79;1019.70;42.21;23.30;1020.04;41.85;0.22;0.10;-9.70;-0.16;0.07;0.21;-3.22;14.29;16.47;38272;
22.81;1019.69;42.16;23.35;1020.00;41.67;0.22;0.10;-9.69;-0.16;0.07;0.21;-3.57;15.36;18.19;43653;
22.82;1019.67;42.09;23.39;1020.02;41.58;0.20;0.08;-9.71;-0.16;0.07;0.21;-2.68;15.18;17.33;49036;
22.83;1019.69;42.10;23.39;1020.01;41.54;0.20;0.11;-9.70;-0.16;0.07;0.20;-2.50;15.01;17.16;54415;
22.84;1019.70;42.13;23.41;1020.02;41.50;0.23;0.12;-9.66;-0.16;0.08;0.21;-0.89;15.18;16.30;59796;
22.85;1019.68;42.12;23.44;1020.01;41.45;0.15;0.11;-9.74;-0.16;0.07;0.21;-3.22;14.65;16.47;65177;
22.85;1019.67;42.09;23.45;1020.03;41.57;0.16;0.09;-9.67;-0.16;0.08;0.21;-2.86;14.29;16.13;70558;
22.86;1019.67;41.99;23.41;1020.00;41.44;0.14;0.10;-9.69;-0.16;0.07;0.21;-2.50;15.36;16.82;75939;
22.86;1019.67;41.98;23.41;1020.02;41.48;0.16;0.09;-9.71;-0.16;0.07;0.20;-3.04;14.11;16.30;81319;
22.88;1019.70;41.98;23.38;1019.99;41.52;0.17;0.09;-9.68;-0.16;0.07;0.20;-2.32;14.83;17.33;86700;
22.88;1019.68;41.86;23.36;1020.01;41.50;0.15;0.10;-9.69;-0.16;0.07;0.21;-4.11;14.83;16.99;92081;
22.88;1019.66;41.79;23.34;1020.03;41.49;0.15;0.10;-9.71;-0.16;0.07;0.21;-1.25;14.47;16.65;97462;
22.89;1019.69;41.77;23.32;1020.03;41.58;0.17;0.10;-9.70;-0.16;0.07;0.21;-3.75;14.11;16.65;102843;
22.91;1019.70;41.71;23.32;1020.03;41.62;0.16;0.10;-9.66;-0.16;0.07;0.20;-2.68;13.40;14.93;108225;
22.91;1019.72;41.67;23.31;1020.01;41.77;0.16;0.08;-9.68;-0.16;0.07;0.20;-3.22;14.29;16.47;113607;
22.91;1019.69;41.68;23.31;1020.03;41.71;0.16;0.09;-9.68;-0.16;0.07;0.20;-1.61;16.26;15.96;118989;
